"","BA.Target","Species","DBH.class","1992","1994"
"1","10","Bl","[7.5,12.5)",5,4
"2","10","Bl","[12.5,17.5)",2.75,2.8
"3","10","Bl","[17.5,22.5)",2.33333333333333,1.33333333333333
"4","10","Bl","[22.5,27.5)",1,2
"5","10","Bl","[27.5,32.5)",2,1.5
"6","10","Bl","[32.5,37.5)",1.5,2
"7","10","Bl","[37.5,42.5)",1,1
"8","10","Sx","[7.5,12.5)",5,5.66666666666667
"9","10","Sx","[12.5,17.5)",2,3
"10","10","Sx","[17.5,22.5)",1.66666666666667,1
"11","10","Sx","[22.5,27.5)",2,2.33333333333333
"12","10","Sx","[32.5,37.5)",1,NA
"13","10","Sx","[37.5,42.5)",NA,1
"14","20","Bl","[7.5,12.5)",13.6666666666667,10.4
"15","20","Bl","[12.5,17.5)",4.66666666666667,6.2
"16","20","Bl","[17.5,22.5)",2,3
"17","20","Bl","[22.5,27.5)",1,1.5
"18","20","Bl","[27.5,32.5)",1,1.75
"19","20","Fd","[57.5,62.5)",1,1
"20","20","Sx","[7.5,12.5)",1,1
"21","20","Sx","[12.5,17.5)",1.5,1.5
"22","20","Sx","[17.5,22.5)",2,1.5
"23","20","Sx","[22.5,27.5)",1.5,2
"24","20","Sx","[27.5,32.5)",2,2
"25","20","Sx","[32.5,37.5)",NA,1
"26","20","Sx","[37.5,42.5)",1,1.25
"27","Control","Bl","[7.5,12.5)",18.4,18.2
"28","Control","Bl","[12.5,17.5)",10.6,10.8
"29","Control","Bl","[17.5,22.5)",8,8
"30","Control","Bl","[22.5,27.5)",2.2,3
"31","Control","Bl","[27.5,32.5)",2,1.66666666666667
"32","Control","Bl","[32.5,37.5)",1.33333333333333,1.33333333333333
"33","Control","Sx","[7.5,12.5)",6,2
"34","Control","Sx","[12.5,17.5)",1.66666666666667,2.33333333333333
"35","Control","Sx","[17.5,22.5)",1.5,2
"36","Control","Sx","[22.5,27.5)",1,1
"37","Control","Sx","[27.5,32.5)",1,1
"38","Control","Sx","[32.5,37.5)",1.33333333333333,1.66666666666667
"39","Control","Sx","[37.5,42.5)",1.5,1.25
"40","Control","Sx","[42.5,47.5)",1,1
"41","Control","Sx","[47.5,52.5)",1,1
