"","Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"1","10","320","Sx","1","1992","Live",34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6
"2","10","320","Sx","1","1994","Live",34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6
"3","10","320","Sx","1","1997","Live",35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6
"4","10","320","Sx","1","2009","Live",38.5,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,6
"5","10","320","Sx","1","2019","Live",41.9,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6
"6","10","321","Sx","2","1992","Live",NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"7","10","321","Sx","2","1994","Live",NA,5.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"8","10","321","Sx","2","1997","Live",7.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"9","10","321","Sx","2","2009","Live",11.3,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,8
"10","10","321","Sx","2","2019","Live",14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
"11","10","322","Bl","1","1992","Live",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9
"12","10","322","Bl","1","1994","Live",23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9
"13","10","322","Bl","1","1997","Live",24.1,NA,"scar at base",NA,NA,NA,NA,NA,NA,NA,NA,2,9
"14","10","322","Bl","1","2009","Live",27.4,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,9
"15","10","322","Bl","1","2019","Live",30.4,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9
"16","10","323","Sx","2","1992","Live",NA,3.8,NA,NA,NA,NA,3,NA,NA,NA,NA,4,8
"17","10","323","Sx","2","1994","Live",NA,4.17,NA,NA,NA,NA,3,NA,NA,NA,NA,4,8
"18","10","323","Sx","2","1997","Live",NA,4.7,NA,NA,NA,NA,3,NA,NA,NA,NA,4,8
"19","10","323","Sx","2","2009","Live",8,NA,"Live",NA,NA,NA,3,NA,NA,NA,NA,4,8
"20","10","323","Sx","2","2019","Live",10.8,10.2,NA,NA,NA,NA,3,NA,NA,NA,NA,4,8
"21","10","324","Bl","2","1992","Live",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,7
"22","10","324","Bl","2","1994","Live",11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,7
"23","10","324","Bl","2","1997","Live",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,7
"24","10","324","Bl","2","2009","Live",13.4,NA,"Live with snapped top",NA,NA,NA,NA,NA,NA,NA,2,3,7
"25","10","324","Bl","2","2019","Live",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,7
"26","10","325","Bl","1","1992","Live",19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8
"27","10","325","Bl","1","1994","Live",20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8
"28","10","325","Bl","1","1997","Live",21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8
"29","10","325","Bl","1","2009","Live",26.3,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,8
"30","10","325","Bl","1","2019","Live",30.4,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8
"31","10","372","Bl","4","1992","Live",12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9
